EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
1030,33,Female,Human Resources,Single,Development,Research Director,Travel_Frequently,2,1,1.0,80,1,1,4.0,4,Yes,10,4,14,0,1.0,15,12,3,0,Yes,2
1031,32,Male,Human Resources,Married,Finance,Sales Executive,Travel_Frequently,11,5,2.0,99,1,1,4.0,5,Yes,24,3,3,0,1.0,17,11,3,2,Yes,3
1032,20,Male,Other,Divorced,Development,Sales Executive,Non-Travel,7,3,2.0,37,1,1,3.0,4,No,11,1,21,6,3.0,10,4,2,9,No,2
1033,54,Male,Human Resources,Divorced,Finance,Research Director,Travel_Rarely,2,2,4.0,97,2,5,4.0,0,Yes,11,2,16,4,3.0,5,1,13,1,No,2
1034,24,Male,Technical Degree,Single,Human Resources,Manufacturing Director,Travel_Frequently,26,5,1.0,34,2,1,3.0,9,No,13,4,21,2,2.0,19,2,8,10,No,2
1035,38,Female,Life Sciences,Divorced,Sales,Healthcare Representative,Travel_Rarely,18,1,2.0,68,3,3,1.0,0,Yes,17,4,16,2,4.0,13,6,2,4,No,3
1036,26,Male,Medical,Married,Sales,Research Director,Travel_Rarely,21,4,2.0,52,1,1,1.0,3,No,11,4,13,0,2.0,12,6,7,7,No,1
1037,56,Female,Life Sciences,Divorced,Research & Development,Healthcare Representative,Travel_Frequently,4,2,3.0,97,2,4,1.0,2,Yes,23,3,13,0,3.0,3,9,1,4,No,3
1038,35,Female,Medical,Single,Finance,Manufacturing Director,Travel_Rarely,8,3,1.0,81,4,1,2.0,7,Yes,18,4,16,3,1.0,19,0,3,0,Yes,3
1039,21,Female,Medical,Single,Development,Manager,Travel_Frequently,20,5,2.0,33,2,2,3.0,6,No,24,3,7,4,1.0,19,14,0,2,No,3
1040,42,Male,Life Sciences,Married,Sales,Healthcare Representative,Travel_Frequently,14,5,4.0,76,2,3,4.0,6,No,21,2,33,2,1.0,10,9,10,11,No,3
1041,31,Male,Other,Married,Sales,Sales Representative,Travel_Frequently,12,2,3.0,50,4,3,1.0,7,No,18,2,25,3,1.0,17,13,4,4,Yes,3
1042,26,Male,Medical,Divorced,Data Science,Sales Representative,Travel_Rarely,22,1,3.0,85,1,5,2.0,9,No,11,4,29,2,4.0,0,10,1,6,No,3
1043,43,Male,Life Sciences,Divorced,Data Science,Manufacturing Director,Travel_Frequently,21,3,1.0,95,4,4,4.0,6,Yes,10,2,21,0,2.0,11,10,10,4,No,1
1044,19,Female,Medical,Single,Sales,Healthcare Representative,Travel_Rarely,27,2,1.0,88,1,3,4.0,9,No,19,1,15,4,2.0,17,11,12,13,No,2
1045,37,Male,Marketing,Married,Finance,Laboratory Technician,Travel_Frequently,18,4,3.0,36,4,2,4.0,1,No,24,1,29,1,3.0,6,3,0,9,No,4
1046,45,Male,Other,Married,Research & Development,Manufacturing Director,Travel_Frequently,11,3,4.0,78,3,1,1.0,3,No,19,3,15,4,2.0,11,5,0,4,No,4
1047,24,Female,Technical Degree,Married,Sales,Manufacturing Director,Non-Travel,29,5,1.0,45,1,3,4.0,5,No,18,4,23,5,4.0,0,7,1,6,No,3
1048,25,Male,Medical,Divorced,Human Resources,Laboratory Technician,Non-Travel,28,2,1.0,46,2,2,3.0,2,No,24,3,34,1,4.0,3,2,4,12,No,3
1049,52,Female,Marketing,Married,Development,Healthcare Representative,Non-Travel,8,5,3.0,63,3,1,2.0,2,Yes,11,2,5,6,4.0,17,13,11,14,No,2
1050,31,Female,Technical Degree,Single,Research & Development,Healthcare Representative,Travel_Rarely,2,5,3.0,62,1,5,4.0,5,No,17,4,3,6,1.0,14,2,14,7,No,2
1051,34,Female,Technical Degree,Single,Human Resources,Sales Representative,Travel_Rarely,25,5,1.0,55,1,3,4.0,0,No,23,3,17,3,3.0,2,7,14,13,No,2
1052,53,Female,Medical,Divorced,Research & Development,Manufacturing Director,Travel_Frequently,15,1,2.0,95,1,3,3.0,0,No,12,4,5,1,4.0,6,7,8,7,Yes,2
1053,57,Female,Life Sciences,Divorced,Human Resources,Manufacturing Director,Travel_Frequently,9,5,1.0,92,4,2,4.0,4,Yes,10,4,25,1,2.0,5,7,5,6,No,2
1054,21,Female,Medical,Married,Development,Human Resources,Travel_Frequently,19,4,2.0,70,1,4,1.0,0,Yes,20,3,26,3,2.0,14,0,11,12,No,2
1055,19,Female,Marketing,Divorced,Development,Manager,Travel_Frequently,20,4,3.0,87,2,5,1.0,9,Yes,10,4,10,4,2.0,14,7,3,13,No,2
1056,23,Female,Technical Degree,Single,Data Science,Manufacturing Director,Travel_Rarely,8,3,2.0,39,1,4,1.0,7,No,19,2,15,3,4.0,5,7,14,2,No,2
1057,59,Male,Medical,Married,Finance,Research Scientist,Travel_Frequently,25,5,4.0,44,2,3,4.0,1,No,11,1,18,5,4.0,7,1,2,10,No,3
1058,21,Male,Life Sciences,Single,Human Resources,Manager,Travel_Frequently,19,5,3.0,71,2,4,2.0,5,Yes,16,1,14,0,2.0,7,11,7,1,No,2
1059,46,Male,Medical,Married,Data Science,Research Scientist,Non-Travel,5,2,1.0,86,2,1,2.0,9,Yes,21,4,25,6,4.0,0,8,2,0,No,3
1060,35,Male,Other,Divorced,Human Resources,Healthcare Representative,Travel_Frequently,11,1,1.0,46,3,5,4.0,9,No,15,1,30,0,2.0,12,6,0,5,No,3
1061,43,Female,Life Sciences,Married,Data Science,Manager,Travel_Frequently,15,3,3.0,89,2,4,2.0,4,No,21,4,18,6,1.0,12,7,3,12,No,3
1062,51,Male,Marketing,Married,Development,Manufacturing Director,Travel_Frequently,8,5,3.0,38,4,1,2.0,9,No,20,3,23,1,4.0,10,1,10,8,No,3
1063,27,Female,Technical Degree,Single,Research & Development,Laboratory Technician,Travel_Rarely,19,2,,65,1,2,4.0,3,Yes,11,2,8,3,1.0,3,3,12,2,Yes,1
1064,53,Male,Medical,Single,Data Science,Sales Representative,Non-Travel,23,1,3.0,65,4,4,1.0,0,No,13,1,22,3,1.0,6,6,4,4,No,3
1065,31,Male,Life Sciences,Married,Human Resources,Research Scientist,Travel_Frequently,27,3,1.0,77,3,5,4.0,2,No,11,3,3,3,4.0,11,5,4,8,No,2
1066,48,Male,Other,Divorced,Human Resources,Manager,Travel_Frequently,8,3,4.0,80,1,1,1.0,3,Yes,10,2,9,5,2.0,12,6,4,13,No,2
1067,32,Female,Life Sciences,Divorced,Finance,Manufacturing Director,Non-Travel,26,5,1.0,99,2,4,1.0,1,Yes,21,1,8,5,3.0,11,0,7,13,No,3
1068,25,Male,Human Resources,Single,Development,Manager,Travel_Frequently,27,3,2.0,97,1,2,,1,Yes,12,1,18,4,,15,7,7,8,No,2
1069,31,Female,Other,Divorced,Human Resources,Manufacturing Director,Travel_Rarely,19,2,3.0,51,3,4,2.0,1,No,24,2,14,2,4.0,5,12,11,6,No,3
1070,40,Female,Marketing,Single,Sales,Manufacturing Director,Travel_Frequently,18,3,2.0,35,3,1,1.0,0,Yes,13,3,33,6,1.0,13,6,12,13,No,2
1071,57,Male,Technical Degree,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,10,4,1.0,55,4,4,1.0,9,Yes,19,3,18,2,2.0,18,12,3,3,No,3
1072,38,Male,Marketing,Married,Data Science,Human Resources,Travel_Rarely,29,2,2.0,32,1,5,2.0,1,No,14,1,20,2,4.0,15,3,14,10,No,1
1073,33,Male,Medical,Single,Finance,Sales Representative,Travel_Frequently,7,1,2.0,81,1,3,3.0,5,No,14,2,33,6,3.0,3,0,8,1,No,2
1074,35,Female,Life Sciences,Single,Research & Development,Laboratory Technician,Non-Travel,28,1,1.0,89,1,1,1.0,2,Yes,24,3,16,4,4.0,4,14,0,1,No,4
1075,41,Male,Human Resources,Married,Development,Laboratory Technician,Travel_Rarely,9,5,1.0,92,4,1,1.0,9,No,16,2,17,3,1.0,8,7,4,3,No,2
1076,43,Female,Other,Single,Finance,Manager,Non-Travel,1,5,3.0,94,3,1,1.0,4,Yes,23,2,16,2,4.0,2,9,4,0,No,4
1077,42,Female,Other,Divorced,Data Science,Manager,Travel_Frequently,19,4,2.0,81,2,1,2.0,0,No,24,1,1,3,4.0,9,6,4,13,Yes,3
1078,58,Male,Life Sciences,Divorced,Data Science,Manufacturing Director,Travel_Rarely,5,1,4.0,43,1,4,4.0,7,No,19,2,0,1,1.0,16,7,7,3,No,3
1079,46,Male,Human Resources,Single,Sales,Human Resources,Travel_Frequently,19,1,4.0,97,4,5,1.0,3,Yes,17,2,9,2,3.0,18,9,8,11,No,3
1080,32,Female,Life Sciences,Divorced,Development,Manufacturing Director,Non-Travel,1,1,1.0,57,4,2,1.0,8,Yes,18,4,4,1,2.0,9,0,2,13,No,3
1081,18,Female,Medical,Single,Finance,Human Resources,Travel_Frequently,15,1,1.0,39,2,5,1.0,3,Yes,21,2,11,4,,11,4,8,10,No,2
1082,42,Female,Marketing,Married,Finance,Manufacturing Director,Travel_Frequently,16,3,2.0,86,3,1,4.0,1,No,16,3,30,0,3.0,6,8,12,5,Yes,2
1083,24,Male,Other,Single,Human Resources,Research Scientist,Travel_Rarely,23,2,1.0,95,1,4,,2,Yes,14,1,8,5,2.0,17,4,10,5,No,2
1084,26,Female,Medical,Married,Sales,Research Scientist,Travel_Frequently,7,2,4.0,79,1,4,1.0,4,No,18,1,25,6,1.0,18,12,7,6,No,3
1085,41,Male,Marketing,Divorced,Sales,Healthcare Representative,Travel_Frequently,26,4,3.0,43,4,1,1.0,9,No,17,2,14,4,3.0,14,13,2,4,No,3
1086,18,Female,Medical,Married,Finance,Manufacturing Director,Travel_Frequently,12,3,3.0,45,3,4,3.0,5,Yes,19,2,15,4,3.0,6,13,1,8,No,3
1087,25,Female,Human Resources,Divorced,Finance,Sales Representative,Travel_Rarely,8,1,2.0,83,1,1,4.0,6,No,18,3,12,4,4.0,11,9,14,1,No,2
1088,41,Male,Other,Single,Research & Development,Healthcare Representative,Non-Travel,5,1,3.0,72,2,5,3.0,3,No,19,4,24,2,1.0,6,11,3,1,No,3
1089,28,Female,Life Sciences,Divorced,Research & Development,Manager,Non-Travel,10,5,1.0,71,3,3,1.0,6,Yes,17,1,29,1,4.0,9,2,14,3,No,2
1090,34,Male,Life Sciences,Single,Research & Development,Manufacturing Director,Travel_Frequently,28,5,1.0,51,3,4,1.0,9,No,15,4,6,5,1.0,19,8,12,14,No,1
1091,25,Male,Marketing,Single,Sales,Research Scientist,Travel_Rarely,21,4,1.0,97,4,1,1.0,2,No,13,3,3,2,2.0,9,12,11,3,No,2
1092,52,Female,Technical Degree,Married,Human Resources,Human Resources,Travel_Frequently,5,1,1.0,48,4,1,1.0,6,Yes,18,1,29,0,4.0,4,8,1,3,No,4
1093,52,Male,Human Resources,Married,Data Science,Sales Representative,Non-Travel,17,4,2.0,95,1,4,2.0,3,Yes,21,3,9,6,1.0,17,3,3,0,No,3
1094,50,Male,Marketing,Married,Research & Development,Manufacturing Director,Travel_Rarely,26,3,3.0,68,4,2,2.0,7,No,18,2,29,6,1.0,8,3,4,3,Yes,3
1095,22,Female,Technical Degree,Married,Human Resources,Laboratory Technician,Non-Travel,5,2,4.0,48,3,1,,8,No,19,3,6,5,3.0,15,10,1,11,No,4
1096,59,Male,Medical,Divorced,Development,Laboratory Technician,Non-Travel,22,1,3.0,45,1,4,3.0,6,No,19,2,34,6,4.0,6,7,11,4,No,3
1097,56,Male,Human Resources,Divorced,Research & Development,Human Resources,Travel_Rarely,15,3,1.0,83,1,1,4.0,7,No,18,4,23,6,4.0,9,6,7,8,Yes,2
1098,58,Male,Medical,Divorced,Data Science,Healthcare Representative,Travel_Rarely,13,1,4.0,54,3,2,1.0,7,Yes,23,1,19,4,2.0,4,10,0,2,No,4
1099,45,Female,Other,Single,Development,Laboratory Technician,Travel_Frequently,28,5,2.0,47,1,3,4.0,1,No,19,1,31,3,1.0,6,4,2,14,No,3
1100,24,Male,Human Resources,Divorced,Development,Healthcare Representative,Travel_Frequently,1,4,1.0,52,2,2,2.0,8,No,12,4,25,0,3.0,4,5,6,2,No,2
1101,26,Female,Technical Degree,Divorced,Data Science,Research Scientist,Non-Travel,11,5,1.0,40,2,5,1.0,5,No,20,2,25,1,1.0,14,14,9,13,No,2
1102,25,Female,Other,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,23,2,4.0,68,1,4,1.0,3,No,21,1,34,0,1.0,18,2,0,4,Yes,4
1103,29,Male,Life Sciences,Married,Sales,Research Scientist,Travel_Rarely,1,5,2.0,97,4,2,3.0,4,Yes,24,3,34,2,1.0,9,13,12,9,No,3
1104,51,Male,Technical Degree,Divorced,Data Science,Research Scientist,Travel_Frequently,11,1,4.0,54,2,3,4.0,9,No,12,2,11,6,4.0,7,14,10,5,No,2
1105,50,Male,Marketing,Single,Data Science,Research Director,Non-Travel,18,5,2.0,92,1,1,3.0,4,Yes,20,1,32,3,1.0,8,5,14,2,No,2
1106,40,Female,Life Sciences,Married,Data Science,Sales Executive,Non-Travel,18,1,1.0,59,2,4,2.0,6,Yes,15,3,13,2,2.0,10,12,1,0,No,2
1107,41,Male,Life Sciences,Single,Development,Sales Representative,Travel_Frequently,21,2,3.0,74,4,2,4.0,8,Yes,15,3,32,5,3.0,1,7,2,9,No,3
1108,54,Male,Marketing,Divorced,Human Resources,Healthcare Representative,Travel_Rarely,26,5,1.0,90,3,3,2.0,6,Yes,24,1,23,4,3.0,2,9,13,7,Yes,3
1109,52,Male,Human Resources,Married,Sales,Research Director,Travel_Frequently,16,4,3.0,80,1,2,3.0,8,Yes,22,4,14,6,1.0,12,13,13,11,No,3
1110,57,Male,Life Sciences,Single,Research & Development,Sales Executive,Travel_Frequently,13,4,3.0,38,1,5,3.0,3,No,24,4,30,4,3.0,10,12,1,0,No,4
1111,39,Male,Technical Degree,Divorced,Research & Development,Sales Representative,Travel_Frequently,7,4,2.0,31,1,4,1.0,9,Yes,22,1,16,0,1.0,9,10,1,1,No,3
1112,44,Female,Other,Single,Human Resources,Healthcare Representative,Travel_Frequently,1,5,4.0,34,1,1,4.0,9,Yes,15,3,11,4,,14,8,11,2,No,2
1113,52,Female,Life Sciences,Single,Data Science,Manufacturing Director,Travel_Rarely,26,5,2.0,91,1,3,4.0,3,Yes,14,4,21,4,3.0,5,2,10,5,No,2
1114,18,Male,Technical Degree,Single,Sales,Sales Representative,Travel_Frequently,16,5,1.0,98,1,2,1.0,5,No,23,4,22,5,4.0,0,7,5,3,No,3
1115,52,Male,Medical,Divorced,Research & Development,Research Scientist,Travel_Rarely,1,1,4.0,81,4,4,4.0,7,Yes,14,4,25,1,4.0,13,11,6,3,No,3
1116,54,Male,Technical Degree,Divorced,Finance,Sales Executive,Travel_Frequently,17,2,3.0,34,3,2,2.0,8,No,11,2,13,1,2.0,17,2,5,14,No,2
1117,31,Male,Other,Single,Research & Development,Sales Executive,Non-Travel,6,4,3.0,88,4,4,2.0,0,Yes,23,4,11,2,2.0,10,1,10,8,No,3
1118,20,Female,Technical Degree,Married,Data Science,Sales Executive,Travel_Rarely,2,1,1.0,97,4,5,3.0,0,Yes,16,1,3,6,3.0,7,4,5,5,No,3
1119,18,Male,Marketing,Married,Finance,Healthcare Representative,Non-Travel,17,4,4.0,38,3,2,2.0,7,No,21,1,12,2,1.0,2,13,14,11,No,3
1120,22,Female,Other,Divorced,Human Resources,Sales Representative,Travel_Frequently,6,1,1.0,51,4,5,4.0,6,No,13,2,17,1,1.0,13,3,8,1,No,2
1121,43,Female,Human Resources,Divorced,Sales,Research Scientist,Travel_Frequently,14,5,1.0,56,2,3,1.0,8,No,23,2,27,0,1.0,1,12,7,6,No,3
1122,31,Male,Medical,Divorced,Human Resources,Research Director,Travel_Frequently,18,4,2.0,39,4,5,3.0,2,Yes,12,1,18,1,1.0,15,4,13,14,No,1
1123,56,Female,Marketing,Divorced,Human Resources,Manufacturing Director,Travel_Rarely,6,5,1.0,90,1,4,1.0,9,No,17,2,2,2,2.0,5,5,7,12,No,2
1124,44,Female,Human Resources,Divorced,Sales,Laboratory Technician,Non-Travel,10,4,4.0,80,2,3,3.0,4,No,13,4,18,3,1.0,0,14,5,2,No,3
1125,26,Female,Technical Degree,Married,Sales,Research Director,Travel_Rarely,24,3,1.0,39,2,2,3.0,2,No,24,3,19,6,1.0,13,2,4,8,No,3
1126,32,Female,Other,Divorced,Research & Development,Research Scientist,Travel_Rarely,18,1,4.0,35,3,2,1.0,4,No,20,3,24,4,4.0,9,0,8,5,No,4
1127,32,Male,Medical,Single,Research & Development,Laboratory Technician,Travel_Frequently,27,3,3.0,91,4,4,2.0,9,No,13,3,10,5,1.0,5,14,11,7,Yes,2
1128,43,Male,Marketing,Single,Sales,Laboratory Technician,Non-Travel,9,1,1.0,34,4,1,2.0,0,Yes,17,1,16,3,1.0,8,3,1,12,Yes,3
1129,59,Female,Human Resources,Married,Finance,Sales Executive,Travel_Frequently,8,2,4.0,99,2,1,2.0,3,No,10,2,34,3,2.0,6,5,6,12,No,2
1130,30,Male,Human Resources,Single,Development,Manager,Travel_Rarely,28,4,3.0,92,4,2,2.0,5,Yes,18,3,13,4,3.0,1,1,5,0,Yes,4
1131,49,Male,Medical,Married,Research & Development,Research Scientist,Travel_Frequently,10,2,4.0,85,4,4,1.0,1,No,23,4,18,1,,10,1,6,1,No,4
1132,56,Male,Technical Degree,Married,Development,Sales Executive,Non-Travel,17,2,3.0,88,3,1,4.0,6,No,16,4,2,6,4.0,13,0,11,5,No,3
1133,49,Male,Medical,Single,Finance,Research Scientist,Travel_Frequently,23,1,2.0,92,2,5,3.0,7,Yes,24,4,33,0,3.0,4,8,3,2,No,4
1134,21,Male,Human Resources,Divorced,Sales,Manager,Non-Travel,29,3,1.0,88,1,2,1.0,0,Yes,21,2,21,3,4.0,8,2,8,0,No,3
1135,47,Female,Life Sciences,Single,Finance,Manufacturing Director,Non-Travel,26,5,1.0,80,2,5,2.0,3,Yes,11,3,26,0,1.0,6,1,6,5,No,1
1136,54,Male,Marketing,Single,Research & Development,Manager,Travel_Frequently,6,1,3.0,79,3,4,2.0,3,Yes,20,4,20,5,1.0,13,3,1,4,No,3
1137,40,Male,Medical,Married,Human Resources,Human Resources,Travel_Rarely,14,5,2.0,33,3,5,1.0,4,No,21,2,30,5,3.0,15,5,12,12,No,3
1138,56,Male,Human Resources,Single,Sales,Research Director,Travel_Frequently,22,2,4.0,77,3,1,3.0,3,Yes,15,4,26,5,2.0,15,0,3,8,No,3
1139,32,Male,Technical Degree,Married,Data Science,Sales Executive,Travel_Rarely,22,5,2.0,61,4,1,1.0,8,No,17,3,1,2,2.0,6,8,4,5,No,3
1140,46,Female,Human Resources,Divorced,Development,Research Director,Travel_Rarely,6,3,4.0,80,2,3,1.0,6,No,20,3,8,3,4.0,9,8,1,4,No,4
1141,53,Female,Technical Degree,Divorced,Finance,Human Resources,Travel_Frequently,26,1,4.0,81,4,2,4.0,1,No,14,3,18,5,2.0,5,7,9,0,Yes,2
1142,30,Female,Medical,Divorced,Sales,Manager,Travel_Rarely,7,3,1.0,63,4,4,1.0,0,Yes,15,3,9,2,2.0,16,5,7,14,No,2
1143,49,Female,Technical Degree,Single,Finance,Healthcare Representative,Travel_Rarely,12,3,3.0,65,2,2,4.0,8,Yes,21,3,6,5,2.0,0,3,0,0,Yes,4
1144,24,Male,Other,Married,Sales,Manager,Travel_Frequently,3,1,,99,3,5,3.0,0,Yes,19,4,3,1,2.0,1,1,14,10,No,2
1145,39,Female,Other,Divorced,Research & Development,Manager,Travel_Frequently,14,3,1.0,72,1,4,1.0,5,No,17,3,14,3,2.0,13,7,2,0,No,3
1146,45,Male,Other,Married,Research & Development,Human Resources,Travel_Frequently,22,4,1.0,45,1,4,1.0,1,Yes,22,4,11,2,2.0,3,6,14,6,Yes,2
1147,19,Male,Life Sciences,Married,Research & Development,Manufacturing Director,Travel_Rarely,19,4,4.0,88,2,1,2.0,3,Yes,15,3,5,5,2.0,8,11,13,5,Yes,2
1148,59,Male,Medical,Divorced,Finance,Research Scientist,Non-Travel,23,4,1.0,82,2,5,1.0,5,No,21,4,8,6,4.0,5,13,0,13,Yes,3
1149,23,Male,Human Resources,Divorced,Data Science,Human Resources,Travel_Rarely,16,5,4.0,48,3,1,2.0,4,Yes,18,3,34,2,1.0,16,3,14,4,No,2
1150,45,Male,Human Resources,Married,Research & Development,Research Scientist,Non-Travel,7,3,3.0,70,2,1,2.0,5,No,24,4,7,5,2.0,10,2,4,3,No,4
1151,45,Female,Life Sciences,Divorced,Sales,Human Resources,Travel_Frequently,8,1,4.0,76,2,3,2.0,2,Yes,21,3,6,1,1.0,3,14,7,10,No,3
1152,37,Female,Technical Degree,Married,Research & Development,Research Scientist,Non-Travel,18,1,4.0,83,3,1,3.0,4,Yes,18,2,3,0,3.0,8,5,6,13,Yes,3
1153,47,Female,Life Sciences,Married,Human Resources,Research Director,Travel_Frequently,25,5,2.0,84,3,2,4.0,1,Yes,18,4,12,5,1.0,15,14,8,12,No,3
1154,28,Female,Technical Degree,Divorced,Research & Development,Human Resources,Travel_Frequently,13,1,1.0,48,4,4,2.0,6,Yes,15,2,18,0,3.0,2,14,1,12,No,3
1155,45,Male,Technical Degree,Single,Finance,Human Resources,Non-Travel,21,4,1.0,91,2,1,1.0,2,Yes,21,4,6,3,4.0,3,0,11,10,No,3
1156,42,Female,Marketing,Divorced,Data Science,Human Resources,Travel_Frequently,9,3,1.0,88,1,2,1.0,0,No,24,4,9,1,1.0,2,1,7,7,No,2
1157,56,Male,Human Resources,Single,Human Resources,Research Scientist,Non-Travel,10,1,1.0,94,2,5,2.0,7,Yes,21,4,24,6,3.0,12,6,7,10,No,3
1158,50,Female,Other,Married,Finance,Manufacturing Director,Travel_Frequently,21,1,2.0,97,1,4,2.0,7,Yes,18,1,34,3,1.0,18,10,13,7,No,2
